vin,name,model_id,make_name,model_name,body_style,door_count,engine_cylinders,price,transmission,trim,year,normalized_color_exterior,normalized_color_interior
WBX57DP02PN247664,BMW X3,20000034,BMW,X3,,4,0,49995,Automatic,xDrive30i,2023,Gray,Black
5YM23CS00P9P15954,BMW XM,20001955,BMW,XM,Sport Utility,4,0,135985,Automatic,,2023,Red,Black
WBXYH9C06N5T71768,BMW X2,20001451,BMW,X2,Sport Utility,4,0,28995,Automatic,sDrive28i,2022,Blue,Brown
5UX23EM07R9S33517,BMW X7,20001703,BMW,X7,SUV,4,0,74000,Automatic,xDrive40i,2024,White,Black
5UX2V1C0XM9H37527,BMW X4,20001125,BMW,X4,SUV,4,0,41298,Automatic,xDrive30i,2021,Black,Black
5UX2V1C06M9G18891,BMW X4,20001125,BMW,X4,SUV,4,0,36777,Automatic,xDrive30i,2021,Gray,Black
WBS33AY07NFL82703,BMW 3-Series,20000029,BMW,3-Series,Sedan,4,0,0,Automatic,Competition Sedan,2022,Gray,Black
5UXTY3C02M9H04609,BMW X3,20000034,BMW,X3,SUV,4,0,28999,Automatic,sDrive30i,2021,White,Beige
WBALM73509E164928,BMW Z4,20000037,BMW,Z4,Convertible,2,0,18990,Automatic,sDrive35i,2009,Blue,
WB523CF03RCN46095,BMW iX,20001847,BMW,iX,SUV,4,0,82994,Automatic,xDrive50,2024,Blue,Black
5UXTY3C0XM9D76713,BMW X3,20000034,BMW,X3,SUV,4,0,26881,Automatic,sDrive30i,2021,White,Beige
WB523CF03RCN46050,BMW iX,20001847,BMW,iX,SUV,4,0,77777,Automatic,xDrive50,2024,Blue,Black
WBXYH9C07N5T87753,BMW X2,20001451,BMW,X2,Sport Utility,4,0,26990,Automatic,sDrive28i,2022,Black,Black
5UXTY3C00M9D96954,BMW X3,20000034,BMW,X3,Sport Utility,4,0,28991,Automatic,sDrive30i,2021,Black,Black
5YMJU0C05N9M31271,BMW X5,20000035,BMW,X5,SUV,4,0,88888,Automatic,,2022,White,Black
5UXCR4C08M9H63487,BMW X5,20000035,BMW,X5,SUV,4,0,43499,Automatic,sDrive40i,2021,Black,Black
WB523CF08RCN47985,BMW iX,20001847,BMW,iX,Sport Utility,4,0,83933,Automatic,xDrive50,2024,Blue,Brown
WBXHT3C39J5K31584,BMW X1,20000934,BMW,X1,SUV,4,0,18198,Automatic,xDrive28i,2018,Black,Black
5YM23CS05P9P15948,BMW XM,20001955,BMW,XM,Sport Utility,4,0,153395,Automatic,Sports Activity Vehicle,2023,Gray,
WBX73EF00P5W88060,BMW X1,20000934,BMW,X1,SUV,4,0,39995,Automatic,xDrive28i,2023,White,
5UXCW2C09M9G16897,BMW X7,20001703,BMW,X7,SUV,4,0,43995,Automatic,xDrive40i,2021,Black,Black
WBS33AZ01MCH57406,BMW 4-Series,20001093,BMW,4-Series,Coupe,2,0,74999,Automatic,Competition,2021,Gray,Red
WBS8M9C39H5G85031,BMW 3-Series,20000029,BMW,3-Series,Sedan,4,0,44999,Automatic,,2017,Gray,Black
5UXZV4C50D0E02681,BMW X5,20000035,BMW,X5,SUV,4,0,11500,Automatic,xDrive35i Premium,2013,Silver,
WBXJG7C02M5S69875,BMW X1,20000934,BMW,X1,SUV,4,0,25997,Automatic,sDrive28i,2021,Black,Black
WB523CF07PCM50595,BMW iX,20001847,BMW,iX,SUV,4,0,84995,Automatic,xDrive50,2023,Black,
5UXTY3C01L9C85263,BMW X3,20000034,BMW,X3,SUV,4,0,28890,Automatic,sDrive30i,2020,White,Black
WBXYJ5C33JEF72256,BMW X2,20001451,BMW,X2,SUV,4,0,17446,Automatic,xDrive28i,2018,White,Black
5UXCR6C08M9G09048,BMW X5,20000035,BMW,X5,SUV,4,0,40498,Automatic,xDrive40i,2021,White,Brown
5UXCW2C05M9G58631,BMW X7,20001703,BMW,X7,SUV,4,0,59990,Automatic,xDrive40i,2021,Gray,Black
WBAVL1C55DVR89820,BMW X1,20000934,BMW,X1,SUV,4,0,6950,Automatic,xDrive 28i,2013,Black,
5UXKR0C57F0P17962,BMW X5,20000035,BMW,X5,SUV,4,0,21998,Automatic,xDrive35i,2015,White,Black
WBY1Z8C37HV890282,BMW i3,20001124,BMW,i3,Hatchback,4,0,15378,Automatic,94 Ah w/Range Extender,2017,White,
5UXCR4C00M9F79189,BMW X5,20000035,BMW,X5,SUV,4,0,0,Automatic,sDrive40i,2021,Black,Black
5UXXW5C55G0N93087,BMW X4,20001125,BMW,X4,Coupe,4,0,18988,Automatic,xDrive35i,2016,Black,Black
WBS33AZ0XPCL63078,BMW 4-Series,20001093,BMW,4-Series,Coupe,2,0,67500,Automatic,,2023,White,Black
5UX43DP02P9P09913,BMW X3,20000034,BMW,X3,suv,4,4,40397,Automatic,sDrive30i,2023,Jet Black,black
5UX23EM00P9R95424,BMW X7,20001703,BMW,X7,Sport Utility,4,0,74894,Automatic,xDrive40i,2023,White,Black
5UXKU6C59K0Z66999,BMW X6,20000748,BMW,X6,Coupe,4,0,39977,Automatic,xDrive50i,2019,White,Black
WBXJG7C09L5P29533,BMW X1,20000934,BMW,X1,Sport Utility,4,0,25566,Automatic,sDrive28i,2020,White,Brown
5UXZW0C5XD0B95299,BMW X5,20000035,BMW,X5,,4,0,12988,Automatic,xDrive35d,2013,Black,Beige
5UXTY3C01M9G80139,BMW X3,20000034,BMW,X3,SUV,4,0,31965,Automatic,sDrive30i,2021,Blue,
5YMCY0C03N9J66556,BMW X6,20000748,BMW,X6,SUV,4,0,84995,Automatic,,2022,Gray,Black
5UXCR6C07M9G30201,BMW X5,20000035,BMW,X5,SUV,4,0,44499,Automatic,xDrive40i,2021,Blue,Black
WBXHU7C34J5H41428,BMW X1,20000934,BMW,X1,SUV,4,0,21749,Automatic,sDrive28i,2018,Black,
5UXCR4C08L9C07517,BMW X5,20000035,BMW,X5,Sport Utility,4,0,37991,Automatic,sDrive40i,2020,Black,Black
WBY8P4C0XM7H33401,BMW i3,20001124,BMW,i3,Hatchback,4,0,26881,Automatic,120Ah w/Range Extender,2021,Blue,Gray
5UXCR6C00P9R88709,BMW X5,20000035,BMW,X5,SUV,4,0,59965,Automatic,xDrive40i,2023,Black,Black
WBX73EF04P5W53456,BMW X1,20000934,BMW,X1,SUV,4,0,37771,Automatic,xDrive28i,2023,Silver,Black
